CHR	Strain	mean_depth	chrlen
2	B11057	83.04	5260912
3	B11057	76.93	4323945
4	B11057	78.68	3952524
5	B11057	93.68	3469364
6	B11057	83.46	3458857
1	B11080	29.88	8482323
2	B11080	30.46	5260912
3	B11080	26.35	4323945
4	B11080	28.9	3952524
5	B11080	33.83	3469364
6	B11080	31.49	3458857
1	B11198	122.1	8482323
2	B11198	122.5	5260912
3	B11198	108.25	4323945
4	B11198	113.35	3952524
5	B11198	131.12	3469364
6	B11198	126.32	3458857
1	B11343	49.41	8482323
2	B11343	49.35	5260912
3	B11343	48.53	4323945
4	B11343	47.28	3952524
5	B11343	55.49	3469364
6	B11343	49.33	3458857
1	B11517	168.1	8482323
2	B11517	168.37	5260912
3	B11517	151.13	4323945
4	B11517	154.21	3952524
5	B11517	191.17	3469364
6	B11517	170.48	3458857
1	B11518	21.37	8482323
2	B11518	22.23	5260912
3	B11518	21.3	4323945
4	B11518	21.91	3952524
5	B11518	25	3469364
6	B11518	22.3	3458857
1	B11587	45.86	8482323
2	B11587	48.19	5260912
3	B11587	45.57	4323945
4	B11587	45.84	3952524
5	B11587	53.94	3469364
6	B11587	46.54	3458857
1	B11863	22.14	8482323
2	B11863	22.06	5260912
3	B11863	19.17	4323945
4	B11863	21.01	3952524
5	B11863	24.88	3469364
6	B11863	21.99	3458857
1	B11873	31.54	8482323
2	B11873	32.62	5260912
3	B11873	28.73	4323945
4	B11873	30.59	3952524
5	B11873	36.1	3469364
6	B11873	33.04	3458857
1	B12219	93.85	8482323
2	B12219	93.16	5260912
3	B12219	90.73	4323945
4	B12219	87.62	3952524
5	B12219	105.67	3469364
6	B12219	95.54	3458857
1	B12220	85.92	8482323
2	B12220	90.14	5260912
3	B12220	78.2	4323945
4	B12220	83.72	3952524
5	B12220	99.46	3469364
6	B12220	91.02	3458857
1	B12398	29.31	8482323
2	B12398	30.38	5260912
3	B12398	26.92	4323945
4	B12398	29.09	3952524
5	B12398	33.04	3469364
6	B12398	31.59	3458857
1	B12495	73.75	8482323
2	B12495	78.88	5260912
3	B12495	71.82	4323945
4	B12495	74.2	3952524
5	B12495	88.91	3469364
6	B12495	77.86	3458857
1	B12496	96.8	8482323
2	B12496	98.79	5260912
3	B12496	92.27	4323945
4	B12496	93.59	3952524
5	B12496	109.06	3469364
6	B12496	100.75	3458857
1	B12526	83.18	8482323
2	B12526	85.62	5260912
3	B12526	80.36	4323945
4	B12526	80.78	3952524
5	B12526	92.65	3469364
6	B12526	87.26	3458857
1	B13956	101.15	8482323
2	B13956	104.86	5260912
3	B13956	94.54	4323945
4	B13956	101.05	3952524
5	B13956	117.51	3469364
6	B13956	107.11	3458857
1	B14131	91.21	8482323
2	B14131	95.97	5260912
3	B14131	89.87	4323945
4	B14131	88.84	3952524
5	B14131	104.96	3469364
6	B14131	93.8	3458857
1	B14132	114.32	8482323
2	B14132	121.16	5260912
3	B14132	103.6	4323945
4	B14132	113.56	3952524
5	B14132	134.39	3469364
6	B14132	125.08	3458857
1	B14133	119.94	8482323
2	B14133	126.52	5260912
3	B14133	108.21	4323945
4	B14133	118.72	3952524
5	B14133	140.52	3469364
6	B14133	131.35	3458857
1	B14135	125.59	8482323
2	B14135	126.91	5260912
3	B14135	109.99	4323945
4	B14135	117.93	3952524
5	B14135	140.32	3469364
6	B14135	129.16	3458857
1	B14286	61.27	8482323
2	B14286	63.4	5260912
3	B14286	64.04	4323945
4	B14286	60.15	3952524
5	B14286	69.56	3469364
6	B14286	65.77	3458857
1	B14288	65.31	8482323
2	B14288	68.31	5260912
3	B14288	59.48	4323945
4	B14288	63.2	3952524
5	B14288	73.68	3469364
6	B14288	68.55	3458857
1	B14291	31.21	8482323
2	B14291	28.5	5260912
3	B14291	30.86	4323945
4	B14291	30.45	3952524
5	B14291	34.05	3469364
6	B14291	30.31	3458857
1	B14298	76.86	8482323
2	B14298	81.12	5260912
3	B14298	70.59	4323945
4	B14298	75.8	3952524
5	B14298	88.45	3469364
6	B14298	82.17	3458857
1	B15142	70.26	8482323
2	B15142	71.74	5260912
3	B15142	62.52	4323945
4	B15142	67.82	3952524
5	B15142	80.91	3469364
6	B15142	71.7	3458857
1	B15145	86.25	8482323
2	B15145	90.82	5260912
3	B15145	84.74	4323945
4	B15145	83.64	3952524
5	B15145	101.06	3469364
6	B15145	89.59	3458857
1	B15146	78.12	8482323
2	B15146	78.39	5260912
3	B15146	78.5	4323945
4	B15146	74.4	3952524
5	B15146	87.29	3469364
6	B15146	80.43	3458857
1	B15257	56.91	8482323
2	B15257	57.21	5260912
3	B15257	50.34	4323945
4	B15257	53.96	3952524
5	B15257	65.84	3469364
6	B15257	56.94	3458857
1	B15317	18.56	8482323
2	B15317	19.32	5260912
3	B15317	17.44	4323945
4	B15317	18.66	3952524
5	B15317	21.68	3469364
6	B15317	19.75	3458857
1	B15368	96.27	8482323
2	B15368	100.82	5260912
3	B15368	90.19	4323945
4	B15368	95.98	3952524
5	B15368	113.18	3469364
6	B15368	103.65	3458857
1	B16338	63.58	8482323
2	B16338	63.69	5260912
3	B16338	58.38	4323945
4	B16338	60.46	3952524
5	B16338	73.55	3469364
6	B16338	65.64	3458857
1	B16339	98.62	8482323
2	B16339	99.51	5260912
3	B16339	90.99	4323945
4	B16339	93.97	3952524
5	B16339	112.08	3469364
6	B16339	102.84	3458857
1	B16364	80.17	8482323
2	B16364	79.01	5260912
3	B16364	71.97	4323945
4	B16364	75.4	3952524
5	B16364	94.88	3469364
6	B16364	80.03	3458857
1	B16536	87.48	8482323
2	B16536	89.89	5260912
3	B16536	78.86	4323945
4	B16536	84.93	3952524
5	B16536	103.44	3469364
6	B16536	96.61	3458857
1	B16692	89.79	8482323
2	B16692	93.11	5260912
3	B16692	86.67	4323945
4	B16692	89.39	3952524
5	B16692	104.66	3469364
6	B16692	96.57	3458857
1	B17554	70.99	8482323
2	B17554	73.37	5260912
3	B17554	67.89	4323945
4	B17554	69.56	3952524
5	B17554	80.38	3469364
6	B17554	76.67	3458857
1	B17567	64.32	8482323
2	B17567	66.46	5260912
3	B17567	57.72	4323945
4	B17567	62.25	3952524
5	B17567	73.77	3469364
6	B17567	68.82	3458857
1	B17635	59.48	8482323
2	B17635	62.36	5260912
3	B17635	56.99	4323945
4	B17635	57.67	3952524
5	B17635	68.53	3469364
6	B17635	63.1	3458857
1	CA1	25.34	8482323
2	CA1	25.76	5260912
3	CA1	24.4	4323945
4	CA1	24.35	3952524
5	CA1	29.28	3469364
6	CA1	25.73	3458857
1	CA10	0.34	8482323
2	CA10	0.37	5260912
3	CA10	0.31	4323945
4	CA10	0.47	3952524
5	CA10	6.1	3469364
6	CA10	0.38	3458857
1	CA14	39.78	8482323
2	CA14	39.59	5260912
3	CA14	36.82	4323945
4	CA14	37.33	3952524
5	CA14	43.95	3469364
6	CA14	39.69	3458857
1	CA15	816.95	8482323
2	CA15	841.1	5260912
3	CA15	798.26	4323945
4	CA15	797.58	3952524
5	CA15	951.01	3469364
6	CA15	856.39	3458857
1	CA17	154.55	8482323
2	CA17	159	5260912
3	CA17	142.8	4323945
4	CA17	145	3952524
5	CA17	182.79	3469364
6	CA17	160.99	3458857
1	CA2	55.38	8482323
2	CA2	55.92	5260912
3	CA2	53.36	4323945
4	CA2	52.83	3952524
5	CA2	64.24	3469364
6	CA2	56.38	3458857
1	CA20	46.82	8482323
2	CA20	46.25	5260912
3	CA20	40.94	4323945
4	CA20	43.51	3952524
5	CA20	53.4	3469364
6	CA20	46.72	3458857
1	CA22	30.04	8482323
2	CA22	30.01	5260912
3	CA22	26.87	4323945
4	CA22	27.57	3952524
5	CA22	34.58	3469364
6	CA22	30.37	3458857
1	CA23	26.68	8482323
2	CA23	26.88	5260912
3	CA23	23.9	4323945
4	CA23	24.59	3952524
5	CA23	29.94	3469364
6	CA23	26.98	3458857
1	CA24	180.85	8482323
2	CA24	183.95	5260912
3	CA24	178.36	4323945
4	CA24	165.87	3952524
5	CA24	201.72	3469364
6	CA24	178.23	3458857
1	CA25	297.41	8482323
2	CA25	309.07	5260912
3	CA25	282	4323945
4	CA25	279.13	3952524
5	CA25	357.04	3469364
6	CA25	304.84	3458857
1	CA26	34.97	8482323
2	CA26	33.41	5260912
3	CA26	35.16	4323945
4	CA26	32.41	3952524
5	CA26	38.98	3469364
6	CA26	34.65	3458857
1	CA27	59.58	8482323
2	CA27	62.89	5260912
3	CA27	60.14	4323945
4	CA27	58.21	3952524
5	CA27	72.32	3469364
6	CA27	60.58	3458857
1	CA28	35.6	8482323
2	CA28	36.92	5260912
3	CA28	34.52	4323945
4	CA28	34.46	3952524
5	CA28	42.76	3469364
6	CA28	37.34	3458857
1	CA29	37.39	8482323
2	CA29	38.02	5260912
3	CA29	35.92	4323945
4	CA29	34.92	3952524
5	CA29	42.22	3469364
6	CA29	38.08	3458857
1	CA3	135.12	8482323
2	CA3	137.35	5260912
3	CA3	127.42	4323945
4	CA3	126.37	3952524
5	CA3	150.42	3469364
6	CA3	137.75	3458857
1	CA30	116.48	8482323
2	CA30	115.63	5260912
3	CA30	114.81	4323945
4	CA30	113.84	3952524
5	CA30	135.4	3469364
6	CA30	117.79	3458857
1	CA4	65	8482323
2	CA4	66.21	5260912
3	CA4	59.88	4323945
4	CA4	60.43	3952524
5	CA4	74.65	3469364
6	CA4	67.25	3458857
1	CA5	223.93	8482323
2	CA5	228.97	5260912
3	CA5	218.98	4323945
4	CA5	220.06	3952524
5	CA5	267.49	3469364
6	CA5	232.41	3458857
1	CA6	180.82	8482323
2	CA6	182.87	5260912
3	CA6	170.67	4323945
4	CA6	174.19	3952524
5	CA6	209.54	3469364
6	CA6	190.93	3458857
1	CA7	112.72	8482323
2	CA7	112.41	5260912
3	CA7	96.68	4323945
4	CA7	107.9	3952524
5	CA7	129.2	3469364
6	CA7	116.06	3458857
1	CA8	65.26	8482323
2	CA8	66	5260912
3	CA8	57.48	4323945
4	CA8	61.94	3952524
5	CA8	73.14	3469364
6	CA8	65.5	3458857
1	CA9	40.5	8482323
2	CA9	42.07	5260912
3	CA9	39.49	4323945
4	CA9	40.16	3952524
5	CA9	46.75	3469364
6	CA9	41.75	3458857
1	CDC-202	45.44	8482323
2	CDC-202	47.13	5260912
3	CDC-202	43.26	4323945
4	CDC-202	46.08	3952524
5	CDC-202	55.29	3469364
6	CDC-202	47.11	3458857
1	CDC-205	43.28	8482323
2	CDC-205	44.95	5260912
3	CDC-205	41.29	4323945
4	CDC-205	43.81	3952524
5	CDC-205	51.53	3469364
6	CDC-205	45.09	3458857
1	CDC-212	48.45	8482323
2	CDC-212	50.34	5260912
3	CDC-212	46.32	4323945
4	CDC-212	49.3	3952524
5	CDC-212	58.22	3469364
6	CDC-212	50.59	3458857
1	COCSP-2006	152.89	8482323
2	COCSP-2006	158.77	5260912
3	COCSP-2006	148.89	4323945
4	COCSP-2006	150.16	3952524
5	COCSP-2006	178.12	3469364
6	COCSP-2006	159.92	3458857
1	COCSP-3505	12.47	8482323
2	COCSP-3505	12.97	5260912
3	COCSP-3505	11.29	4323945
4	COCSP-3505	12.14	3952524
5	COCSP-3505	30.97	3469364
6	COCSP-3505	14.84	3458857
1	COCSP-8945	39.95	8482323
2	COCSP-8945	36.74	5260912
3	COCSP-8945	40.5	4323945
4	COCSP-8945	34.66	3952524
5	COCSP-8945	42.14	3469364
6	COCSP-8945	38.46	3458857
1	Coahuila_1	48.05	8482323
2	Coahuila_1	48.34	5260912
3	Coahuila_1	44.08	4323945
4	Coahuila_1	46.32	3952524
5	Coahuila_1	55.34	3469364
6	Coahuila_1	50.4	3458857
1	GT-100	26.97	8482323
2	GT-100	26.16	5260912
3	GT-100	23.75	4323945
4	GT-100	25.07	3952524
5	GT-100	31.06	3469364
6	GT-100	27.01	3458857
1	GT-104	90.69	8482323
2	GT-104	87.07	5260912
3	GT-104	81.55	4323945
4	GT-104	84.57	3952524
5	GT-104	106.93	3469364
6	GT-104	86.84	3458857
1	GT-105	56.57	8482323
2	GT-105	60.25	5260912
3	GT-105	52.8	4323945
4	GT-105	56.83	3952524
5	GT-105	66.98	3469364
6	GT-105	58.68	3458857
1	GT-107	65.55	8482323
2	GT-107	66.36	5260912
3	GT-107	60.37	4323945
4	GT-107	64.13	3952524
5	GT-107	73.53	3469364
6	GT-107	65.52	3458857
1	GT-108	62.46	8482323
2	GT-108	64.71	5260912
3	GT-108	62.16	4323945
4	GT-108	59.88	3952524
5	GT-108	71.6	3469364
6	GT-108	63.89	3458857
1	GT-109	31.4	8482323
2	GT-109	31.66	5260912
3	GT-109	28.7	4323945
4	GT-109	30.25	3952524
5	GT-109	32.62	3469364
6	GT-109	33.06	3458857
1	GT-110	133.1	8482323
2	GT-110	116.34	5260912
3	GT-110	131.25	4323945
4	GT-110	125.4	3952524
5	GT-110	135.06	3469364
6	GT-110	121.52	3458857
1	GT-111	66.49	8482323
2	GT-111	69.21	5260912
3	GT-111	65.68	4323945
4	GT-111	66.1	3952524
5	GT-111	77.01	3469364
6	GT-111	66.86	3458857
1	GT-113	161.4	8482323
2	GT-113	159.62	5260912
3	GT-113	152.29	4323945
4	GT-113	156.89	3952524
5	GT-113	174.65	3469364
6	GT-113	162.94	3458857
1	GT-114	37.85	8482323
2	GT-114	37.29	5260912
3	GT-114	35.39	4323945
4	GT-114	36.69	3952524
5	GT-114	40.96	3469364
6	GT-114	38.38	3458857
1	GT-116	79.3	8482323
2	GT-116	79.24	5260912
3	GT-116	78.7	4323945
4	GT-116	75.37	3952524
5	GT-116	86.72	3469364
6	GT-116	75.3	3458857
1	GT-117	33.82	8482323
2	GT-117	33.93	5260912
3	GT-117	32.51	4323945
4	GT-117	32.2	3952524
5	GT-117	36.1	3469364
6	GT-117	34.52	3458857
1	GT-118	30.83	8482323
2	GT-118	30.4	5260912
3	GT-118	29.78	4323945
4	GT-118	28.38	3952524
5	GT-118	37.85	3469364
6	GT-118	31.49	3458857
1	GT-119	41.76	8482323
2	GT-119	41.34	5260912
3	GT-119	40.15	4323945
4	GT-119	39.72	3952524
5	GT-119	48.63	3469364
6	GT-119	42.12	3458857
1	GT-121	167.69	8482323
2	GT-121	166.95	5260912
3	GT-121	147.71	4323945
4	GT-121	161.01	3952524
5	GT-121	187.81	3469364
6	GT-121	175.35	3458857
1	GT-122	26.45	8482323
2	GT-122	27.34	5260912
3	GT-122	24.71	4323945
4	GT-122	26.66	3952524
5	GT-122	32.05	3469364
6	GT-122	28.86	3458857
1	GT-123	24.53	8482323
2	GT-123	25.93	5260912
3	GT-123	23.03	4323945
4	GT-123	24.1	3952524
5	GT-123	28.94	3469364
6	GT-123	26.58	3458857
1	GT-125	90.25	8482323
2	GT-125	94.98	5260912
3	GT-125	85.21	4323945
4	GT-125	91.1	3952524
5	GT-125	105.07	3469364
6	GT-125	95.73	3458857
1	GT-126	32.5	8482323
2	GT-126	32.77	5260912
3	GT-126	28.67	4323945
4	GT-126	30.43	3952524
5	GT-126	35.46	3469364
6	GT-126	34.11	3458857
1	GT-127	228.24	8482323
2	GT-127	226.35	5260912
3	GT-127	200.63	4323945
4	GT-127	218.87	3952524
5	GT-127	258.91	3469364
6	GT-127	236.13	3458857
1	GT-128	68.18	8482323
2	GT-128	69.13	5260912
3	GT-128	65.83	4323945
4	GT-128	63.36	3952524
5	GT-128	76.78	3469364
6	GT-128	68.88	3458857
1	GT-129	26.33	8482323
2	GT-129	26.16	5260912
3	GT-129	23.65	4323945
4	GT-129	24.97	3952524
5	GT-129	31.02	3469364
6	GT-129	26.99	3458857
1	GT-132	52.46	8482323
2	GT-132	53.36	5260912
3	GT-132	52.15	4323945
4	GT-132	49.22	3952524
5	GT-132	64.7	3469364
6	GT-132	51.89	3458857
1	GT-133	30.62	8482323
2	GT-133	29.86	5260912
3	GT-133	27.61	4323945
4	GT-133	28.91	3952524
5	GT-133	33.02	3469364
6	GT-133	30.72	3458857
1	GT-140	24.85	8482323
2	GT-140	24.69	5260912
3	GT-140	23.04	4323945
4	GT-140	23.65	3952524
5	GT-140	27.8	3469364
6	GT-140	25.13	3458857
1	GT-146	86.5	8482323
2	GT-146	88.55	5260912
3	GT-146	81.86	4323945
4	GT-146	83.29	3952524
5	GT-146	96.01	3469364
6	GT-146	90.59	3458857
1	GT-147	14.11	8482323
2	GT-147	14.53	5260912
3	GT-147	13.52	4323945
4	GT-147	13.9	3952524
5	GT-147	15.91	3469364
6	GT-147	14.7	3458857
1	GT-156	25.45	8482323
2	GT-156	26.11	5260912
3	GT-156	24.39	4323945
4	GT-156	24.94	3952524
5	GT-156	29.9	3469364
6	GT-156	26.68	3458857
1	GT-163	12.17	8482323
2	GT-163	12.7	5260912
3	GT-163	12.27	4323945
4	GT-163	11.85	3952524
5	GT-163	14.23	3469364
6	GT-163	12.63	3458857
1	GT-167	71.24	8482323
2	GT-167	73.08	5260912
3	GT-167	66.97	4323945
4	GT-167	71.44	3952524
5	GT-167	84.85	3469364
6	GT-167	73.22	3458857
1	GT-169	34.96	8482323
2	GT-169	35.83	5260912
3	GT-169	36.73	4323945
4	GT-169	33.61	3952524
5	GT-169	39.14	3469364
6	GT-169	38.44	3458857
1	Guerrero_1	28.06	8482323
2	Guerrero_1	28.78	5260912
3	Guerrero_1	26.82	4323945
4	Guerrero_1	26.71	3952524
5	Guerrero_1	31.66	3469364
6	Guerrero_1	28.74	3458857
1	M204	51.19	8482323
2	M204	53.43	5260912
3	M204	49.69	4323945
4	M204	50.62	3952524
5	M204	62.14	3469364
6	M204	53.61	3458857
1	Michoacan_2	18.76	8482323
2	Michoacan_2	18.91	5260912
3	Michoacan_2	18.41	4323945
4	Michoacan_2	17.96	3952524
5	Michoacan_2	21.01	3469364
6	Michoacan_2	18.82	3458857
1	RS	40.79	8482323
2	RS	40.38	5260912
3	RS	40.76	4323945
4	RS	41.07	3952524
5	RS	44.02	3469364
6	RS	39.6	3458857
1	SDVA1	79.04	8482323
2	SDVA1	80.15	5260912
3	SDVA1	72.45	4323945
4	SDVA1	78.42	3952524
5	SDVA1	97.74	3469364
6	SDVA1	81.99	3458857
1	SDVA10	50.01	8482323
2	SDVA10	45.29	5260912
3	SDVA10	51.41	4323945
4	SDVA10	48.3	3952524
5	SDVA10	56.95	3469364
6	SDVA10	47.49	3458857
1	SDVA14	62.72	8482323
2	SDVA14	53.78	5260912
3	SDVA14	62.35	4323945
4	SDVA14	59.25	3952524
5	SDVA14	67.55	3469364
6	SDVA14	55.55	3458857
1	SDVA15	70.91	8482323
2	SDVA15	67.53	5260912
3	SDVA15	70.13	4323945
4	SDVA15	65.68	3952524
5	SDVA15	75.91	3469364
6	SDVA15	68.71	3458857
1	SDVA16	73.46	8482323
2	SDVA16	62.83	5260912
3	SDVA16	72.09	4323945
4	SDVA16	72.05	3952524
5	SDVA16	72.44	3469364
6	SDVA16	65.7	3458857
1	SDVA17	127.48	8482323
2	SDVA17	125.71	5260912
3	SDVA17	133	4323945
4	SDVA17	118.72	3952524
5	SDVA17	138.41	3469364
6	SDVA17	125.97	3458857
1	SDVA2	98.27	8482323
2	SDVA2	98.26	5260912
3	SDVA2	89.53	4323945
4	SDVA2	94.92	3952524
5	SDVA2	109.51	3469364
6	SDVA2	100.54	3458857
1	SDVA20	72.08	8482323
2	SDVA20	61.04	5260912
3	SDVA20	70.31	4323945
4	SDVA20	70.94	3952524
5	SDVA20	70.1	3469364
6	SDVA20	63.95	3458857
1	SDVA25	85.92	8482323
2	SDVA25	75.24	5260912
3	SDVA25	88.32	4323945
4	SDVA25	79.11	3952524
5	SDVA25	92.87	3469364
6	SDVA25	79.05	3458857
1	SDVA26	88.57	8482323
2	SDVA26	75.02	5260912
3	SDVA26	88.25	4323945
4	SDVA26	85.11	3952524
5	SDVA26	90.24	3469364
6	SDVA26	78.72	3458857
1	SDVA27	44.85	8482323
2	SDVA27	39.54	5260912
3	SDVA27	44.91	4323945
4	SDVA27	41.71	3952524
5	SDVA27	48.28	3469364
6	SDVA27	41.48	3458857
1	SDVA3	82.89	8482323
2	SDVA3	82.68	5260912
3	SDVA3	74.04	4323945
4	SDVA3	78.23	3952524
5	SDVA3	91.95	3469364
6	SDVA3	83.39	3458857
1	SDVA36	53.84	8482323
2	SDVA36	53.26	5260912
3	SDVA36	56.53	4323945
4	SDVA36	50.11	3952524
5	SDVA36	60.04	3469364
6	SDVA36	53.08	3458857
1	SDVA38	145.21	8482323
2	SDVA38	141.79	5260912
3	SDVA38	127.14	4323945
4	SDVA38	134.81	3952524
5	SDVA38	159.41	3469364
6	SDVA38	145.49	3458857
1	SDVA39	112.88	8482323
2	SDVA39	108.53	5260912
3	SDVA39	116.91	4323945
4	SDVA39	105.31	3952524
5	SDVA39	133.57	3469364
6	SDVA39	113	3458857
1	SDVA4	83.57	8482323
2	SDVA4	84.81	5260912
3	SDVA4	75.91	4323945
4	SDVA4	82.53	3952524
5	SDVA4	100.85	3469364
6	SDVA4	87.09	3458857
1	SDVA41	31.29	8482323
2	SDVA41	31.57	5260912
3	SDVA41	32.59	4323945
4	SDVA41	31.53	3952524
5	SDVA41	36.02	3469364
6	SDVA41	30.48	3458857
1	SDVA42	55.43	8482323
2	SDVA42	47.52	5260912
3	SDVA42	54.43	4323945
4	SDVA42	54.32	3952524
5	SDVA42	55.39	3469364
6	SDVA42	49.6	3458857
1	SDVA44	24.22	8482323
2	SDVA44	23.08	5260912
3	SDVA44	25.57	4323945
4	SDVA44	23.28	3952524
5	SDVA44	24.75	3469364
6	SDVA44	22.75	3458857
1	SDVA45	50.67	8482323
2	SDVA45	44.42	5260912
3	SDVA45	55.08	4323945
4	SDVA45	48.15	3952524
5	SDVA45	68.01	3469364
6	SDVA45	46.37	3458857
1	SDVA47	43.79	8482323
2	SDVA47	39.61	5260912
3	SDVA47	45.21	4323945
4	SDVA47	41.29	3952524
5	SDVA47	46.7	3469364
6	SDVA47	41.36	3458857
1	SDVA48	46.63	8482323
2	SDVA48	45.25	5260912
3	SDVA48	46.95	4323945
4	SDVA48	41.71	3952524
5	SDVA48	49.43	3469364
6	SDVA48	45.15	3458857
1	SDVA5	102.3	8482323
2	SDVA5	102.02	5260912
3	SDVA5	111	4323945
4	SDVA5	96.6	3952524
5	SDVA5	117.63	3469364
6	SDVA5	100.99	3458857
1	SDVA6	63.29	8482323
2	SDVA6	62.62	5260912
3	SDVA6	67.82	4323945
4	SDVA6	59.83	3952524
5	SDVA6	71.12	3469364
6	SDVA6	62.48	3458857
1	SDVA7	69.15	8482323
2	SDVA7	58.93	5260912
3	SDVA7	70.29	4323945
4	SDVA7	62.9	3952524
5	SDVA7	70.36	3469364
6	SDVA7	61.55	3458857
1	SDVA8	56.77	8482323
2	SDVA8	49.37	5260912
3	SDVA8	60.72	4323945
4	SDVA8	56.11	3952524
5	SDVA8	61.42	3469364
6	SDVA8	51.9	3458857
1	SJV_1	21.16	8482323
2	SJV_1	21.11	5260912
3	SJV_1	20.64	4323945
4	SJV_1	19.87	3952524
5	SJV_1	23.53	3469364
6	SJV_1	21.5	3458857
1	SJV_10	48.06	8482323
2	SJV_10	47.82	5260912
3	SJV_10	42.86	4323945
4	SJV_10	45.97	3952524
5	SJV_10	54.81	3469364
6	SJV_10	48.51	3458857
1	SJV_11	31.63	8482323
2	SJV_11	32.1	5260912
3	SJV_11	29.34	4323945
4	SJV_11	30.84	3952524
5	SJV_11	36.39	3469364
6	SJV_11	32.56	3458857
1	SJV_2	58.57	8482323
2	SJV_2	60.8	5260912
3	SJV_2	54.57	4323945
4	SJV_2	54.53	3952524
5	SJV_2	70.41	3469364
6	SJV_2	61.24	3458857
1	SJV_3	19.6	8482323
2	SJV_3	19.23	5260912
3	SJV_3	17.71	4323945
4	SJV_3	18.25	3952524
5	SJV_3	22.06	3469364
6	SJV_3	19.49	3458857
1	SJV_4	67.1	8482323
2	SJV_4	68.01	5260912
3	SJV_4	61.71	4323945
4	SJV_4	63.59	3952524
5	SJV_4	80.25	3469364
6	SJV_4	68.31	3458857
1	SJV_5	49.43	8482323
2	SJV_5	49.79	5260912
3	SJV_5	45.12	4323945
4	SJV_5	47.93	3952524
5	SJV_5	56.11	3469364
6	SJV_5	51.03	3458857
1	SJV_6	16.81	8482323
2	SJV_6	16.52	5260912
3	SJV_6	15.52	4323945
4	SJV_6	15.72	3952524
5	SJV_6	18.55	3469364
6	SJV_6	17.07	3458857
1	SJV_7	83.81	8482323
2	SJV_7	88.43	5260912
3	SJV_7	77.46	4323945
4	SJV_7	83.51	3952524
5	SJV_7	100.17	3469364
6	SJV_7	88.73	3458857
1	SJV_8	28.99	8482323
2	SJV_8	29.03	5260912
3	SJV_8	26.07	4323945
4	SJV_8	27.59	3952524
5	SJV_8	33.5	3469364
6	SJV_8	29.31	3458857
1	SJV_9	22.83	8482323
2	SJV_9	22.7	5260912
3	SJV_9	21.99	4323945
4	SJV_9	21.91	3952524
5	SJV_9	25.52	3469364
6	SJV_9	23.37	3458857
1	San_Diego_1	43.55	8482323
2	San_Diego_1	44.15	5260912
3	San_Diego_1	40.19	4323945
4	San_Diego_1	43.19	3952524
5	San_Diego_1	56.64	3469364
6	San_Diego_1	45.52	3458857
1	VFC043	68.35	8482323
2	VFC043	67.1	5260912
